,0
494,AK-47 | Phantom Disruptor (Battle-Scarred)
495,Sticker | 9INE (Glitter) | Paris 2023
496,AWP | Fever Dream (Field-Tested)
497,Antwerp 2022 Contenders Autograph Capsule
498,Desert Eagle | Light Rail (Minimal Wear)
499,StatTrak™ AK-47 | Uncharted (Field-Tested)
500,AUG | Surveillance (Field-Tested)
501,FAMAS | Rapid Eye Movement (Field-Tested)
502,AK-47 | Steel Delta (Field-Tested)
503,'Two Times' McCoy | USAF TACP
504,AK-47 | Emerald Pinstripe (Well-Worn)
505,AWP | Black Nile (Minimal Wear)
506,Jungle Rebel | Elite Crew
507,Glock-18 | Candy Apple (Minimal Wear)
508,SG 553 | Dragon Tech (Minimal Wear)
509,Antwerp 2022 Legends Sticker Capsule
510,Sticker | Spirit (Holo) | 2020 RMR
511,Sticker | TYLOO | 2020 RMR
512,MAC-10 | Disco Tech (Field-Tested)
513,MAG-7 | Metallic DDPAT (Factory New)
514,Little Kev | The Professionals
515,MAC-10 | Last Dive (Factory New)
516,Sticker | Fnatic (Foil) | 2020 RMR
517,AK-47 | Elite Build (Battle-Scarred)
518,Stockholm 2021 Contenders Sticker Capsule
519,USP-S | Ticket to Hell (Factory New)
520,3rd Commando Company | KSK
521,AWP | Acheron (Minimal Wear)
522,P250 | Valence (Minimal Wear)
523,Desert Eagle | Meteorite (Minimal Wear)
524,M4A1-S | Nightmare (Minimal Wear)
525,AWP | Exoskeleton (Well-Worn)
526,StatTrak™ M4A1-S | Night Terror (Field-Tested)
527,Sticker | Fnatic (Holo) | Paris 2023
528,M4A4 | Neo-Noir (Battle-Scarred)
529,AWP | Fever Dream (Battle-Scarred)
530,Sticker | Team Liquid (Holo) | Paris 2023
531,Sticker | Into The Breach (Holo) | Paris 2023
532,Galil AR | Rocket Pop (Minimal Wear)
533,M4A1-S | VariCamo (Field-Tested)
534,'Two Times' McCoy | TACP Cavalry
535,StatTrak™ AK-47 | Elite Build (Field-Tested)
536,Antwerp 2022 Challengers Autograph Capsule
537,Paris 2023 Ancient Souvenir Package
538,MP5-SD | Kitbash (Field-Tested)
539,Dual Berettas | Contractor (Field-Tested)
540,M4A4 | 龍王 (Dragon King) (Minimal Wear)
541,P90 | Vent Rush (Field-Tested)
542,SG 553 | Dragon Tech (Field-Tested)
543,AWP | Exoskeleton (Field-Tested)
544,StatTrak™ AWP | Atheris (Field-Tested)
545,M4A4 | In Living Color (Battle-Scarred)
546,M4A1-S | Leaded Glass (Minimal Wear)
547,StatTrak™ AK-47 | Elite Build (Minimal Wear)
548,Sawed-Off | Kiss♥Love (Field-Tested)
549,M4A1-S | Player Two (Battle-Scarred)
550,AUG | Surveillance (Field-Tested)
551,FAMAS | Rapid Eye Movement (Field-Tested)
552,AK-47 | Steel Delta (Field-Tested)
553,'Two Times' McCoy | USAF TACP
554,AK-47 | Emerald Pinstripe (Well-Worn)
555,AWP | Black Nile (Minimal Wear)
556,Jungle Rebel | Elite Crew
557,Glock-18 | Candy Apple (Minimal Wear)
558,SG 553 | Dragon Tech (Minimal Wear)
559,Antwerp 2022 Legends Sticker Capsule
560,Sticker | Spirit (Holo) | 2020 RMR
561,Sticker | TYLOO | 2020 RMR
562,MAC-10 | Disco Tech (Field-Tested)
563,MAG-7 | Metallic DDPAT (Factory New)
564,Little Kev | The Professionals
565,MAC-10 | Last Dive (Factory New)
566,Sticker | Fnatic (Foil) | 2020 RMR
567,AK-47 | Elite Build (Battle-Scarred)
568,Stockholm 2021 Contenders Sticker Capsule
569,USP-S | Ticket to Hell (Factory New)
570,3rd Commando Company | KSK
571,AWP | Acheron (Minimal Wear)
572,P250 | Valence (Minimal Wear)
573,Desert Eagle | Meteorite (Minimal Wear)
574,M4A1-S | Nightmare (Minimal Wear)
575,AWP | Exoskeleton (Well-Worn)
576,StatTrak™ M4A1-S | Night Terror (Field-Tested)
577,Sticker | Fnatic (Holo) | Paris 2023
578,M4A4 | Neo-Noir (Battle-Scarred)
579,AWP | Fever Dream (Battle-Scarred)
580,Sticker | Team Liquid (Holo) | Paris 2023
581,Sticker | Into The Breach (Holo) | Paris 2023
582,Galil AR | Rocket Pop (Minimal Wear)
583,M4A1-S | VariCamo (Field-Tested)
584,'Two Times' McCoy | TACP Cavalry
585,StatTrak™ AK-47 | Elite Build (Field-Tested)
586,Antwerp 2022 Challengers Autograph Capsule
587,Paris 2023 Ancient Souvenir Package
588,MP5-SD | Kitbash (Field-Tested)
589,Dual Berettas | Contractor (Field-Tested)
590,M4A4 | 龍王 (Dragon King) (Minimal Wear)
591,P90 | Vent Rush (Field-Tested)
592,SG 553 | Dragon Tech (Field-Tested)
593,AWP | Exoskeleton (Field-Tested)
594,StatTrak™ AWP | Atheris (Field-Tested)
595,M4A4 | In Living Color (Battle-Scarred)
596,M4A1-S | Leaded Glass (Minimal Wear)
597,StatTrak™ AK-47 | Elite Build (Minimal Wear)
598,Sawed-Off | Kiss♥Love (Field-Tested)
599,M4A1-S | Player Two (Battle-Scarred)
600,Sticker | PGL (Holo) | Antwerp 2022
601,SCAR-20 | Sand Mesh (Field-Tested)
602,AK-47 | Safari Mesh (Minimal Wear)
603,Desert Eagle | Conspiracy (Minimal Wear)
604,SG 553 | Anodized Navy (Factory New)
605,USP-S | Black Lotus (Minimal Wear)
606,AWP | Pit Viper (Field-Tested)
607,Glock-18 | Bullet Queen (Field-Tested)
608,Sticker | Kawaii CT (Holo)
609,Dual Berettas | Flora Carnivora (Field-Tested)
610,P250 | Franklin (Factory New)
611,Desert Eagle | Code Red (Battle-Scarred)
612,AWP | PAW (Minimal Wear)
613,AK-47 | Phantom Disruptor (Minimal Wear)
614,AK-47 | Emerald Pinstripe (Minimal Wear)
615,UMP-45 | Wild Child (Minimal Wear)
616,Sticker | The MongolZ (Holo) | Paris 2023
617,P2000 | Wicked Sick (Field-Tested)
618,P2000 | Amber Fade (Minimal Wear)
619,R8 Revolver | Fade (Field-Tested)
620,Slingshot | Phoenix
621,Sticker | Copenhagen Flames (Holo) | Stockholm 2021
622,Sticker | Apeks (Glitter) | Paris 2023
623,Sticker | Complexity Gaming (Glitter) | Paris 2023
624,StatTrak™ USP-S | Ticket to Hell (Minimal Wear)
625,Glock-18 | Umbral Rabbit (Field-Tested)
626,G3SG1 | Black Sand (Battle-Scarred)
627,Sawed-Off | Amber Fade (Factory New)
628,P2000 | Granite Marbleized (Field-Tested)
629,Desert Eagle | Sputnik (Minimal Wear)
630,P90 | Neoqueen (Field-Tested)
631,"Music Kit | Denzel Curry, ULTIMATE"
632,AWP | Phobos (Factory New)
633,CS20 Sticker Capsule
634,PP-Bizon | Space Cat (Minimal Wear)
635,StatTrak™ AWP | Capillary (Field-Tested)
636,Glock-18 | Water Elemental (Field-Tested)
637,Sticker | Boom | 2020 RMR
638,Tec-9 | Fuel Injector (Field-Tested)
639,G3SG1 | Dream Glade (Field-Tested)
640,Glock-18 | Nuclear Garden (Field-Tested)
641,M4A4 | Spider Lily (Well-Worn)
642,Sawed-Off | Brake Light (Factory New)
643,M4A4 | Converter (Factory New)
644,Galil AR | Connexion (Field-Tested)
645,Desert Eagle | Kumicho Dragon (Field-Tested)
646,CS:GO Weapon Case 2
647,Dragomir | Sabre Footsoldier
648,MP9 | Slide (Field-Tested)
649,1st Lieutenant Farlow | SWAT
650,Sticker | PGL (Holo) | Antwerp 2022
651,SCAR-20 | Sand Mesh (Field-Tested)
652,AK-47 | Safari Mesh (Minimal Wear)
653,Desert Eagle | Conspiracy (Minimal Wear)
654,SG 553 | Anodized Navy (Factory New)
655,USP-S | Black Lotus (Minimal Wear)
656,AWP | Pit Viper (Field-Tested)
657,Glock-18 | Bullet Queen (Field-Tested)
658,Sticker | Kawaii CT (Holo)
659,Dual Berettas | Flora Carnivora (Field-Tested)
660,P250 | Franklin (Factory New)
661,Desert Eagle | Code Red (Battle-Scarred)
662,AWP | PAW (Minimal Wear)
663,AK-47 | Phantom Disruptor (Minimal Wear)
664,AK-47 | Emerald Pinstripe (Minimal Wear)
665,UMP-45 | Wild Child (Minimal Wear)
666,Sticker | The MongolZ (Holo) | Paris 2023
667,P2000 | Wicked Sick (Field-Tested)
668,P2000 | Amber Fade (Minimal Wear)
669,R8 Revolver | Fade (Field-Tested)
670,Slingshot | Phoenix
671,Sticker | Copenhagen Flames (Holo) | Stockholm 2021
672,Sticker | Apeks (Glitter) | Paris 2023
673,Sticker | Complexity Gaming (Glitter) | Paris 2023
674,StatTrak™ USP-S | Ticket to Hell (Minimal Wear)
675,Glock-18 | Umbral Rabbit (Field-Tested)
676,G3SG1 | Black Sand (Battle-Scarred)
677,Sawed-Off | Amber Fade (Factory New)
678,P2000 | Granite Marbleized (Field-Tested)
679,Desert Eagle | Sputnik (Minimal Wear)
680,P90 | Neoqueen (Field-Tested)
681,"Music Kit | Denzel Curry, ULTIMATE"
682,AWP | Phobos (Factory New)
683,CS20 Sticker Capsule
684,PP-Bizon | Space Cat (Minimal Wear)
685,StatTrak™ AWP | Capillary (Field-Tested)
686,Glock-18 | Water Elemental (Field-Tested)
687,Sticker | Boom | 2020 RMR
688,Tec-9 | Fuel Injector (Field-Tested)
689,G3SG1 | Dream Glade (Field-Tested)
690,Glock-18 | Nuclear Garden (Field-Tested)
691,M4A4 | Spider Lily (Well-Worn)
692,Sawed-Off | Brake Light (Factory New)
693,M4A4 | Converter (Factory New)
694,Galil AR | Connexion (Field-Tested)
695,Desert Eagle | Kumicho Dragon (Field-Tested)
696,CS:GO Weapon Case 2
697,Dragomir | Sabre Footsoldier
698,MP9 | Slide (Field-Tested)
699,1st Lieutenant Farlow | SWAT
700,Dragomir | Sabre
701,StatTrak™ AWP | Atheris (Minimal Wear)
702,CZ75-Auto | Jungle Dashed (Well-Worn)
703,MAG-7 | Monster Call (Minimal Wear)
704,AWP | Corticera (Field-Tested)
705,Desert Eagle | Trigger Discipline (Well-Worn)
706,USP-S | Neo-Noir (Field-Tested)
707,AK-47 | Safari Mesh (Field-Tested)
708,Five-SeveN | Boost Protocol (Minimal Wear)
709,Desert Eagle | Mecha Industries (Battle-Scarred)
710,M4A1-S | Flashback (Field-Tested)
711,Sticker | OG (Holo) | Paris 2023
712,SSG 08 | Dragonfire (Field-Tested)
713,Arno The Overgrown | Guerrilla Warfare
714,StatTrak™ AWP | Duality (Field-Tested)
715,M4A4 | Magnesium (Minimal Wear)
716,Five-SeveN | Angry Mob (Field-Tested)
717,AWP | Safari Mesh (Field-Tested)
718,"Sticker | ZywOo (Holo, Champion) | Paris 2023"
719,MP7 | Abyssal Apparition (Minimal Wear)
720,AWP | Mortis (Well-Worn)
721,Sticker | Monte | Paris 2023
722,AK-47 | Uncharted (Factory New)
723,P90 | Vent Rush (Minimal Wear)
724,Winter Offensive Weapon Case
725,M4A4 | In Living Color (Minimal Wear)
726,USP-S | Torque (Field-Tested)
727,Desert Eagle | Naga (Field-Tested)
728,M4A4 | Neo-Noir (Well-Worn)
729,StatTrak™ USP-S | Cortex (Field-Tested)
730,AK-47 | Orbit Mk01 (Minimal Wear)
731,AWP | Capillary (Field-Tested)
732,CZ75-Auto | Army Sheen (Factory New)
733,M4A4 | In Living Color (Field-Tested)
734,Dual Berettas | Cobalt Quartz (Field-Tested)
735,Five-SeveN | Monkey Business (Field-Tested)
736,M4A4 | Griffin (Field-Tested)
737,StatTrak™ M4A4 | Magnesium (Minimal Wear)
738,Dual Berettas | Melondrama (Minimal Wear)
739,SSG 08 | Fever Dream (Field-Tested)
740,Tec-9 | Brother (Field-Tested)
741,StatTrak™ Glock-18 | Vogue (Field-Tested)
742,StatTrak™ Glock-18 | Umbral Rabbit (Field-Tested)
743,"Music Kit | Meechy Darko, Gothic Luxury"
744,M4A1-S | Nitro (Battle-Scarred)
745,Sticker | Into The Breach (Glitter) | Paris 2023
746,M249 | Downtown (Field-Tested)
747,MP7 | Fade (Field-Tested)
748,MP7 | Abyssal Apparition (Field-Tested)
749,M4A1-S | Mud-Spec (Field-Tested)
750,Dragomir | Sabre
751,StatTrak™ AWP | Atheris (Minimal Wear)
752,CZ75-Auto | Jungle Dashed (Well-Worn)
753,MAG-7 | Monster Call (Minimal Wear)
754,AWP | Corticera (Field-Tested)
755,Desert Eagle | Trigger Discipline (Well-Worn)
756,USP-S | Neo-Noir (Field-Tested)
757,AK-47 | Safari Mesh (Field-Tested)
758,Five-SeveN | Boost Protocol (Minimal Wear)
759,Desert Eagle | Mecha Industries (Battle-Scarred)
760,M4A1-S | Flashback (Field-Tested)
761,Sticker | OG (Holo) | Paris 2023
762,SSG 08 | Dragonfire (Field-Tested)
763,Arno The Overgrown | Guerrilla Warfare
764,StatTrak™ AWP | Duality (Field-Tested)
765,M4A4 | Magnesium (Minimal Wear)
766,Five-SeveN | Angry Mob (Field-Tested)
767,AWP | Safari Mesh (Field-Tested)
768,"Sticker | ZywOo (Holo, Champion) | Paris 2023"
769,MP7 | Abyssal Apparition (Minimal Wear)
770,AWP | Mortis (Well-Worn)
771,Sticker | Monte | Paris 2023
772,AK-47 | Uncharted (Factory New)
773,P90 | Vent Rush (Minimal Wear)
774,Winter Offensive Weapon Case
775,M4A4 | In Living Color (Minimal Wear)
776,USP-S | Torque (Field-Tested)
777,Desert Eagle | Naga (Field-Tested)
778,M4A4 | Neo-Noir (Well-Worn)
779,StatTrak™ USP-S | Cortex (Field-Tested)
780,AK-47 | Orbit Mk01 (Minimal Wear)
781,AWP | Capillary (Field-Tested)
782,CZ75-Auto | Army Sheen (Factory New)
783,M4A4 | In Living Color (Field-Tested)
784,Dual Berettas | Cobalt Quartz (Field-Tested)
785,Five-SeveN | Monkey Business (Field-Tested)
786,M4A4 | Griffin (Field-Tested)
787,StatTrak™ M4A4 | Magnesium (Minimal Wear)
788,Dual Berettas | Melondrama (Minimal Wear)
789,SSG 08 | Fever Dream (Field-Tested)
790,Tec-9 | Brother (Field-Tested)
791,StatTrak™ Glock-18 | Vogue (Field-Tested)
792,StatTrak™ Glock-18 | Umbral Rabbit (Field-Tested)
793,"Music Kit | Meechy Darko, Gothic Luxury"
794,M4A1-S | Nitro (Battle-Scarred)
795,Sticker | Into The Breach (Glitter) | Paris 2023
796,M249 | Downtown (Field-Tested)
797,MP7 | Fade (Field-Tested)
798,MP7 | Abyssal Apparition (Field-Tested)
799,M4A1-S | Mud-Spec (Field-Tested)
800,Glock-18 | Vogue (Battle-Scarred)
801,StatTrak™ M4A4 | Magnesium (Field-Tested)
802,StatTrak™ AK-47 | Slate (Minimal Wear)
803,Berlin 2019 Legends Autograph Capsule
804,MP9 | Food Chain (Minimal Wear)
805,Sticker | Entropiq (Holo) | Stockholm 2021
806,AK-47 | Blue Laminate (Minimal Wear)
807,UMP-45 | Plastique (Field-Tested)
808,Chef d'Escadron Rouchard | Gendarmerie Nationale
809,Desert Eagle | Conspiracy (Field-Tested)
810,P2000 | Amber Fade (Field-Tested)
811,Dual Berettas | Contractor (Well-Worn)
812,Tec-9 | Red Quartz (Minimal Wear)
813,Souvenir USP-S | Purple DDPAT (Field-Tested)
814,R8 Revolver | Amber Fade (Field-Tested)
815,SSG 08 | Blue Spruce (Field-Tested)
816,AK-47 | Steel Delta (Factory New)
817,StatTrak™ AK-47 | Uncharted (Minimal Wear)
818,StatTrak™ USP-S | Black Lotus (Field-Tested)
819,AUG | Storm (Field-Tested)
820,Sticker | Natus Vincere (Glitter) | Paris 2023
821,John 'Van Healen' Kask | SWAT
822,Antwerp 2022 Dust II Souvenir Package
823,StatTrak™ AWP | Capillary (Minimal Wear)
824,MAG-7 | Rust Coat (Well-Worn)
825,USP-S | Check Engine (Field-Tested)
826,Sticker | Infinite Triangle (Holo)
827,USP-S | Guardian (Field-Tested)
828,Desert Eagle | Bronze Deco (Factory New)
829,MP7 | Bloodsport (Minimal Wear)
830,Sticker | Natus Vincere (Holo) | 2020 RMR
831,P90 | Sand Spray (Minimal Wear)
832,AWP | Pit Viper (Minimal Wear)
833,AK-47 | Rat Rod (Well-Worn)
834,Dual Berettas | Melondrama (Well-Worn)
835,USP-S | Flashback (Minimal Wear)
836,Sticker | dexter | Paris 2023
837,M4A4 | Tooth Fairy (Minimal Wear)
838,AK-47 | Frontside Misty (Well-Worn)
839,Desert Eagle | Blue Ply (Minimal Wear)
840,Sticker | Lambda
841,AK-47 | Rat Rod (Battle-Scarred)
842,StatTrak™ Desert Eagle | Corinthian (Factory New)
843,Tec-9 | Brother (Minimal Wear)
844,Sticker | Virtus.pro (Foil) | 2020 RMR
845,Sticker | MIBR (Holo) | Antwerp 2022
846,"Music Kit | Knock2, dashstar*"
847,USP-S | Check Engine (Factory New)
848,Sticker | Toxic Flow (Holo)
849,FAMAS | Teardown (Minimal Wear)
850,Glock-18 | Vogue (Battle-Scarred)
851,StatTrak™ M4A4 | Magnesium (Field-Tested)
852,StatTrak™ AK-47 | Slate (Minimal Wear)
853,Berlin 2019 Legends Autograph Capsule
854,MP9 | Food Chain (Minimal Wear)
855,Sticker | Entropiq (Holo) | Stockholm 2021
856,AK-47 | Blue Laminate (Minimal Wear)
857,UMP-45 | Plastique (Field-Tested)
858,Chef d'Escadron Rouchard | Gendarmerie Nationale
859,Desert Eagle | Conspiracy (Field-Tested)
860,P2000 | Amber Fade (Field-Tested)
861,Dual Berettas | Contractor (Well-Worn)
862,Tec-9 | Red Quartz (Minimal Wear)
863,Souvenir USP-S | Purple DDPAT (Field-Tested)
864,R8 Revolver | Amber Fade (Field-Tested)
865,SSG 08 | Blue Spruce (Field-Tested)
866,AK-47 | Steel Delta (Factory New)
867,StatTrak™ AK-47 | Uncharted (Minimal Wear)
868,StatTrak™ USP-S | Black Lotus (Field-Tested)
869,AUG | Storm (Field-Tested)
870,Sticker | Natus Vincere (Glitter) | Paris 2023
871,John 'Van Healen' Kask | SWAT
872,Antwerp 2022 Dust II Souvenir Package
873,StatTrak™ AWP | Capillary (Minimal Wear)
874,MAG-7 | Rust Coat (Well-Worn)
875,USP-S | Check Engine (Field-Tested)
876,Sticker | Infinite Triangle (Holo)
877,USP-S | Guardian (Field-Tested)
878,Desert Eagle | Bronze Deco (Factory New)
879,MP7 | Bloodsport (Minimal Wear)
880,Sticker | Natus Vincere (Holo) | 2020 RMR
881,P90 | Sand Spray (Minimal Wear)
882,AWP | Pit Viper (Minimal Wear)
883,AK-47 | Rat Rod (Well-Worn)
884,Dual Berettas | Melondrama (Well-Worn)
885,USP-S | Flashback (Minimal Wear)
886,Sticker | dexter | Paris 2023
887,M4A4 | Tooth Fairy (Minimal Wear)
888,AK-47 | Frontside Misty (Well-Worn)
889,Desert Eagle | Blue Ply (Minimal Wear)
890,Sticker | Lambda
891,AK-47 | Rat Rod (Battle-Scarred)
892,StatTrak™ Desert Eagle | Corinthian (Factory New)
893,Tec-9 | Brother (Minimal Wear)
894,Sticker | Virtus.pro (Foil) | 2020 RMR
895,Sticker | MIBR (Holo) | Antwerp 2022
896,"Music Kit | Knock2, dashstar*"
897,USP-S | Check Engine (Factory New)
898,Sticker | Toxic Flow (Holo)
899,FAMAS | Teardown (Minimal Wear)
900,"Music Kit | AWOLNATION, I Am"
901,Desert Eagle | Corinthian (Factory New)
902,AK-47 | Point Disarray (Field-Tested)
903,Sticker | Flashblack (Holo)
904,USP-S | Torque (Factory New)
905,StatTrak™ M4A1-S | Night Terror (Minimal Wear)
906,Sticker | FaZe Clan (Glitter) | Paris 2023
907,StatTrak™ USP-S | Cortex (Minimal Wear)
908,FAMAS | Colony (Well-Worn)
909,XM1014 | Incinegator (Field-Tested)
910,AWP | Chromatic Aberration (Well-Worn)
911,PP-Bizon | Space Cat (Field-Tested)
912,UMP-45 | Wild Child (Field-Tested)
913,M4A1-S | Leaded Glass (Battle-Scarred)
914,FAMAS | ZX Spectron (Field-Tested)
915,AK-47 | Cartel (Field-Tested)
916,AUG | Amber Fade (Field-Tested)
917,FAMAS | Contrast Spray (Minimal Wear)
918,AWP | Phobos (Field-Tested)
919,MP9 | Starlight Protector (Battle-Scarred)
920,Glock-18 | Nuclear Garden (Factory New)
921,FAMAS | Rapid Eye Movement (Minimal Wear)
922,SSG 08 | Fever Dream (Minimal Wear)
923,"Warhammer 40,000 Sticker Capsule"
924,UMP-45 | Facility Dark (Field-Tested)
925,Glock-18 | Moonrise (Factory New)
926,MAC-10 | Neon Rider (Minimal Wear)
927,Glock-18 | Bullet Queen (Battle-Scarred)
928,Sticker | FURIA (Glitter) | Paris 2023
929,Galil AR | Chromatic Aberration (Minimal Wear)
930,M4A4 | Converter (Minimal Wear)
931,StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested)
932,CZ75-Auto | Circaetus (Minimal Wear)
933,XM1014 | Zombie Offensive (Factory New)
934,SCAR-20 | Bloodsport (Minimal Wear)
935,Galil AR | Sage Spray (Well-Worn)
936,Sticker | Vitality (Holo) | Stockholm 2021
937,M4A4 | Urban DDPAT (Minimal Wear)
938,M4A4 | Griffin (Minimal Wear)
939,Souvenir MP7 | Prey (Field-Tested)
940,Tec-9 | Groundwater (Field-Tested)
941,Lieutenant Rex Krikey | SEAL Frogman
942,Galil AR | Signal (Factory New)
943,Sealed Graffiti | Oops (Blood Red)
944,G3SG1 | Jungle Dashed (Well-Worn)
945,StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear)
946,Tec-9 | Red Quartz (Factory New)
947,M4A4 | Converter (Field-Tested)
948,UMP-45 | Wild Child (Battle-Scarred)
949,Stockholm 2021 Mirage Souvenir Package
